Name,ArtifactIdentifier,GenerationName,PrevGenArtifactIdentifier,PrevGenName,RootArtifactIdentifier,CountOfCharacteristics,PrevGenCountOfCharacteristics,ChangeInCharacteristics,CountOfAKAs,PrevGenCountOfAKAs,ChangeInAKAs,ExpTransformerIsSyntaxFree
12385:12390-Analysis-Locked,12390,106-Long Prompt Experiment-Generation-6,12389,106-Long Prompt Experiment-Generation-5,12385,4.000,3.000,1.000000,0.000,0.000,0.000,0
12385:12391-Analysis-Locked,12391,106-Long Prompt Experiment-Generation-7,12390,106-Long Prompt Experiment-Generation-6,12385,0.000,4.000,4.000000,0.000,0.000,0.000,0
12385:12392-Analysis-Locked,12392,106-Long Prompt Experiment-Generation-8,12391,106-Long Prompt Experiment-Generation-7,12385,2.000,0.000,2.000000,0.000,0.000,0.000,0
12385:12393-Analysis-Locked,12393,106-Long Prompt Experiment-Generation-9,12392,106-Long Prompt Experiment-Generation-8,12385,0.000,2.000,2.000000,0.000,0.000,0.000,0
12385:12394-Analysis-Locked,12394,106-Long Prompt Experiment-Generation-10,12385,106-Long Prompt Experiment-Generation-1,12385,1.000,3.000,2.000000,0.000,2.000,2.000,0
12405:12405-Analysis-Locked,12405,106-Long Prompt Experiment-Generation-1,,,12405,4.000,,0.000000,2.000,,0.000,0
12405:12406-Analysis-Locked,12406,106-Long Prompt Experiment-Generation-2,12414,106-Long Prompt Experiment-Generation-10,12405,6.000,1.000,5.000000,2.000,0.000,2.000,0
12405:12407-Analysis-Locked,12407,106-Long Prompt Experiment-Generation-3,12406,106-Long Prompt Experiment-Generation-2,12405,6.000,6.000,0.000000,2.000,2.000,0.000,0
12405:12408-Analysis-Locked,12408,106-Long Prompt Experiment-Generation-4,12407,106-Long Prompt Experiment-Generation-3,12405,6.000,6.000,0.000000,2.000,2.000,0.000,0
12405:12409-Analysis-Locked,12409,106-Long Prompt Experiment-Generation-5,12408,106-Long Prompt Experiment-Generation-4,12405,6.000,6.000,0.000000,2.000,2.000,0.000,0
12405:12410-Analysis-Locked,12410,106-Long Prompt Experiment-Generation-6,12409,106-Long Prompt Experiment-Generation-5,12405,7.000,6.000,1.000000,4.000,2.000,2.000,0
12405:12411-Analysis-Locked,12411,106-Long Prompt Experiment-Generation-7,12410,106-Long Prompt Experiment-Generation-6,12405,0.000,7.000,7.000000,0.000,4.000,4.000,0
12405:12412-Analysis-Locked,12412,106-Long Prompt Experiment-Generation-8,12411,106-Long Prompt Experiment-Generation-7,12405,2.000,0.000,2.000000,0.000,0.000,0.000,0
12405:12413-Analysis-Locked,12413,106-Long Prompt Experiment-Generation-9,12412,106-Long Prompt Experiment-Generation-8,12405,13.000,2.000,11.000000,0.000,0.000,0.000,0
12405:12414-Analysis-Locked,12414,106-Long Prompt Experiment-Generation-10,12405,106-Long Prompt Experiment-Generation-1,12405,1.000,4.000,3.000000,0.000,2.000,2.000,0
12425:12425-Analysis-Locked,12425,106-Long Prompt Experiment-Generation-1,,,12425,6.000,,0.000000,3.000,,0.000,0
12425:12426-Analysis-Locked,12426,106-Long Prompt Experiment-Generation-2,12434,106-Long Prompt Experiment-Generation-10,12425,7.000,2.000,5.000000,3.000,0.000,3.000,0
12425:12427-Analysis-Locked,12427,106-Long Prompt Experiment-Generation-3,12426,106-Long Prompt Experiment-Generation-2,12425,7.000,7.000,0.000000,4.000,3.000,1.000,0
12425:12428-Analysis-Locked,12428,106-Long Prompt Experiment-Generation-4,12427,106-Long Prompt Experiment-Generation-3,12425,7.000,7.000,0.000000,2.000,4.000,2.000,0
12425:12429-Analysis-Locked,12429,106-Long Prompt Experiment-Generation-5,12428,106-Long Prompt Experiment-Generation-4,12425,7.000,7.000,0.000000,0.000,2.000,2.000,0
12425:12430-Analysis-Locked,12430,106-Long Prompt Experiment-Generation-6,12429,106-Long Prompt Experiment-Generation-5,12425,7.000,7.000,0.000000,4.000,0.000,4.000,0
12425:12431-Analysis-Locked,12431,106-Long Prompt Experiment-Generation-7,12430,106-Long Prompt Experiment-Generation-6,12425,0.000,7.000,7.000000,0.000,4.000,4.000,0
12425:12432-Analysis-Locked,12432,106-Long Prompt Experiment-Generation-8,12431,106-Long Prompt Experiment-Generation-7,12425,2.000,0.000,2.000000,0.000,0.000,0.000,0
12425:12433-Analysis-Locked,12433,106-Long Prompt Experiment-Generation-9,12432,106-Long Prompt Experiment-Generation-8,12425,0.000,2.000,2.000000,0.000,0.000,0.000,0
12425:12434-Analysis-Locked,12434,106-Long Prompt Experiment-Generation-10,12425,106-Long Prompt Experiment-Generation-1,12425,2.000,6.000,4.000000,0.000,3.000,3.000,0
12335:12335-Analysis-FREE,12335,106-Long Prompt Experiment-Generation-1,,,12335,3.000,,0.000000,2.000,,0.000,1
12335:12336-Analysis-FREE,12336,106-Long Prompt Experiment-Generation-2,12344,106-Long Prompt Experiment-Generation-10,12335,5.000,0.000,5.000000,2.000,0.000,2.000,1
12335:12337-Analysis-FREE,12337,106-Long Prompt Experiment-Generation-3,12336,106-Long Prompt Experiment-Generation-2,12335,0.000,5.000,5.000000,0.000,2.000,2.000,1
12335:12338-Analysis-FREE,12338,106-Long Prompt Experiment-Generation-4,12337,106-Long Prompt Experiment-Generation-3,12335,4.000,0.000,4.000000,0.000,0.000,0.000,1
12335:12339-Analysis-FREE,12339,106-Long Prompt Experiment-Generation-5,12338,106-Long Prompt Experiment-Generation-4,12335,13.000,4.000,9.000000,4.000,0.000,4.000,1
12335:12340-Analysis-FREE,12340,106-Long Prompt Experiment-Generation-6,12339,106-Long Prompt Experiment-Generation-5,12335,1.000,13.000,12.000000,0.000,4.000,4.000,1
12335:12341-Analysis-FREE,12341,106-Long Prompt Experiment-Generation-7,12340,106-Long Prompt Experiment-Generation-6,12335,3.000,1.000,2.000000,2.000,0.000,2.000,1
12335:12342-Analysis-FREE,12342,106-Long Prompt Experiment-Generation-8,12341,106-Long Prompt Experiment-Generation-7,12335,0.000,3.000,3.000000,0.000,2.000,2.000,1
12335:12343-Analysis-FREE,12343,106-Long Prompt Experiment-Generation-9,12342,106-Long Prompt Experiment-Generation-8,12335,0.000,0.000,0.000000,0.000,0.000,0.000,1
12335:12344-Analysis-FREE,12344,106-Long Prompt Experiment-Generation-10,12335,106-Long Prompt Experiment-Generation-1,12335,0.000,3.000,3.000000,0.000,2.000,2.000,1
12355:12355-Analysis-FREE,12355,106-Long Prompt Experiment-Generation-1,,,12355,3.000,,0.000000,0.000,,0.000,1
