Name,ArtifactIdentifier,GenerationName,PrevGenArtifactIdentifier,PrevGenName,RootArtifactIdentifier,CountOfCharacteristics,PrevGenCountOfCharacteristics,ChangeInCharacteristics,CountOfAKAs,PrevGenCountOfAKAs,ChangeInAKAs,CountOfMismatches,PrevGenCountOfMismatches,ChangeInMismatches,ExpTransformerIsSyntaxFree
10532:10575-Analysis-Locked,10575,Generation-2,10532,Generation-1,10532,3,3,0.00,0,0,0.00000,0,0,0,0
10532:10607-Analysis-Locked,10607,Generation-3,10575,Generation-2,10532,4,3,1.00,0,0,0.00000,0,0,0,0
10532:10650-Analysis-Locked,10650,Generation-4,10607,Generation-3,10532,2,4,-2.00,0,0,0.00000,0,0,0,0
10533:10533-Analysis-Locked,10533,Generation-1,,,10533,5,,0.00,5,,0.00000,0,,0,0
10533:10567-Analysis-Locked,10567,Generation-2,10533,Generation-1,10533,6,5,1.00,6,5,1.00000,0,0,0,0
10533:10613-Analysis-Locked,10613,Generation-3,10567,Generation-2,10533,7,6,1.00,6,6,0.00000,0,0,0,0
10533:10657-Analysis-Locked,10657,Generation-4,10613,Generation-3,10533,7,7,0.00,7,6,1.00000,0,0,0,0
10534:10534-Analysis-Locked,10534,Generation-1,,,10534,5,,0.00,3,,0.00000,0,,0,0
10534:10573-Analysis-Locked,10573,Generation-2,10534,Generation-1,10534,6,5,1.00,4,3,1.00000,0,0,0,0
10534:10604-Analysis-Locked,10604,Generation-3,10573,Generation-2,10534,7,6,1.00,5,4,1.00000,0,0,0,0
10535:10535-Analysis-Locked,10535,Generation-1,,,10535,3,,0.00,0,,0.00000,0,,0,0
10535:10566-Analysis-Locked,10566,Generation-2,10535,Generation-1,10535,4,3,1.00,0,0,0.00000,0,0,0,0
10535:10603-Analysis-Locked,10603,Generation-3,10566,Generation-2,10535,5,4,1.00,0,0,0.00000,0,0,0,0
10535:10655-Analysis-Locked,10655,Generation-4,10603,Generation-3,10535,5,5,0.00,0,0,0.00000,0,0,0,0
10536:10536-Analysis-Locked,10536,Generation-1,,,10536,4,,0.00,4,,0.00000,0,,0,0
10536:10570-Analysis-Locked,10570,Generation-2,10536,Generation-1,10536,5,4,1.00,4,4,0.00000,0,0,0,0
10536:10608-Analysis-Locked,10608,Generation-3,10570,Generation-2,10536,6,5,1.00,5,4,1.00000,0,0,0,0
10536:10645-Analysis-Locked,10645,Generation-4,10608,Generation-3,10536,5,6,-1.00,4,5,-1.00000,0,0,0,0
10537:10537-Analysis-Locked,10537,Generation-1,,,10537,3,,0.00,1,,0.00000,0,,0,0
10537:10565-Analysis-Locked,10565,Generation-2,10537,Generation-1,10537,0,3,-3.00,0,1,-1.00000,0,0,0,0
10537:10612-Analysis-Locked,10612,Generation-3,10565,Generation-2,10537,4,0,4.00,0,0,0.00000,0,0,0,0
10537:10647-Analysis-Locked,10647,Generation-4,10612,Generation-3,10537,7,4,3.00,5,0,5.00000,0,0,0,0
10538:10538-Analysis-Locked,10538,Generation-1,,,10538,5,,0.00,5,,0.00000,0,,0,0
10538:10559-Analysis-Locked,10559,Generation-2,10538,Generation-1,10538,6,5,1.00,4,5,-1.00000,0,0,0,0
10538:10599-Analysis-Locked,10599,Generation-3,10559,Generation-2,10538,6,6,0.00,5,4,1.00000,0,0,0,0
10538:10644-Analysis-Locked,10644,Generation-4,10599,Generation-3,10538,6,6,0.00,3,5,-2.00000,0,0,0,0
10539:10539-Analysis-FREE,10539,Generation-1,,,10539,4,,0.00,0,,0.00000,0,,0,1
10539:10592-Analysis-FREE,10592,Generation-2,10539,Generation-1,10539,4,4,0.00,4,0,4.00000,0,0,0,1
10539:10636-Analysis-FREE,10636,Generation-3,10592,Generation-2,10539,6,4,2.00,0,4,-4.00000,0,0,0,1
10539:10660-Analysis-FREE,10660,Generation-4,10636,Generation-3,10539,5,6,-1.00,1,0,1.00000,0,0,0,1
10539:10680-Analysis-FREE,10680,Generation-5,10660,Generation-4,10539,4,5,-1.00,1,1,0.00000,0,0,0,1
10539:10713-Analysis-FREE,10713,Generation-6,10680,Generation-5,10539,3,4,-1.00,2,1,1.00000,0,0,0,1
10540:10540-Analysis-FREE,10540,Generation-1,,,10540,5,,0.00,1,,0.00000,0,,0,1
10540:10583-Analysis-FREE,10583,Generation-2,10540,Generation-1,10540,4,5,-1.00,0,1,-1.00000,0,0,0,1
10540:10625-Analysis-FREE,10625,Generation-3,10583,Generation-2,10540,4,4,0.00,1,0,1.00000,0,0,0,1
10540:10667-Analysis-FREE,10667,Generation-4,10625,Generation-3,10540,4,4,0.00,1,1,0.00000,0,0,0,1
10540:10691-Analysis-FREE,10691,Generation-5,10667,Generation-4,10540,4,4,0.00,1,1,0.00000,0,0,0,1
10540:10715-Analysis-FREE,10715,Generation-6,10691,Generation-5,10540,4,4,0.00,1,1,0.00000,0,0,0,1
10541:10541-Analysis-FREE,10541,Generation-1,,,10541,4,,0.00,1,,0.00000,0,,0,1
10541:10580-Analysis-FREE,10580,Generation-2,10541,Generation-1,10541,4,4,0.00,1,1,0.00000,0,0,0,1
10541:10621-Analysis-FREE,10621,Generation-3,10580,Generation-2,10541,4,4,0.00,0,1,-1.00000,0,0,0,1
10541:10665-Analysis-FREE,10665,Generation-4,10621,Generation-3,10541,4,4,0.00,1,0,1.00000,0,0,0,1
10541:10698-Analysis-FREE,10698,Generation-5,10665,Generation-4,10541,1,4,-3.00,1,1,0.00000,0,0,0,1
10541:10702-Analysis-FREE,10702,Generation-6,10698,Generation-5,10541,4,1,3.00,1,1,0.00000,0,0,0,1
10542:10542-Analysis-FREE,10542,Generation-1,,,10542,4,,0.00,0,,0.00000,0,,0,1
10542:10588-Analysis-FREE,10588,Generation-2,10542,Generation-1,10542,4,4,0.00,0,0,0.00000,0,0,0,1
10542:10623-Analysis-FREE,10623,Generation-3,10588,Generation-2,10542,4,4,0.00,1,0,1.00000,0,0,0,1
10542:10669-Analysis-FREE,10669,Generation-4,10623,Generation-3,10542,4,4,0.00,2,1,1.00000,0,0,0,1
10542:10686-Analysis-FREE,10686,Generation-5,10669,Generation-4,10542,4,4,0.00,1,2,-1.00000,0,0,0,1
10542:10705-Analysis-FREE,10705,Generation-6,10686,Generation-5,10542,4,4,0.00,0,1,-1.00000,0,0,0,1
10543:10543-Analysis-FREE,10543,Generation-1,,,10543,4,,0.00,2,,0.00000,0,,0,1
10543:10586-Analysis-FREE,10586,Generation-2,10543,Generation-1,10543,4,4,0.00,0,2,-2.00000,0,0,0,1
10543:10637-Analysis-FREE,10637,Generation-3,10586,Generation-2,10543,4,4,0.00,1,0,1.00000,0,0,0,1
10543:10674-Analysis-FREE,10674,Generation-4,10637,Generation-3,10543,4,4,0.00,0,1,-1.00000,0,0,0,1
10543:10688-Analysis-FREE,10688,Generation-5,10674,Generation-4,10543,4,4,0.00,1,0,1.00000,0,0,0,1
